TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
napFDAGHBC	-	napFDAGHBC-ccmABCDEFGH	-	napFDAGHBCnapFDAGHBC-ccmABCDEFGH
napFDAGHBC	-	ccmABCDEFGH	-	napFDAGHBCccmABCDEFGH
ymdA	+	csgC	+	ymdAcsgC
ymdA	+	csgBAC	+	ymdAcsgBAC
ymdA	+	ymdAB-clsC	+	ymdAymdAB-clsC
ymdA	+	ymdAB	+	ymdAymdAB
mlc	-	mlc-ynfK	-	mlcmlc-ynfK
acpT	+	nikABCDER	+	acpTnikABCDER
aaeXAB	-	yhcO1	-	aaeXAByhcO1
norR1	-	norR	-	norR1norR
norR1	-	srlAEBD-gutM-srlR-gutQ	+	norR1srlAEBD-gutM-srlR-gutQ
lacYA	-	lacZYA	-	lacYAlacZYA
lacYA	-	cynTSX	+	lacYAcynTSX
yhhQ1	+	dcrB1	+	yhhQ1dcrB1
manXYZ	+	manXYZ-yobD	+	manXYZmanXYZ-yobD
yggE	-	argO	-	yggEargO
ydfABC-dicFB-ydfD	+	dicF	+	ydfABC-dicFB-ydfDdicF
ydfABC-dicFB-ydfD	+	ydfABC	+	ydfABC-dicFB-ydfDydfABC
yohO1	+	osmF-yehYXW	-	yohO1osmF-yehYXW
yohO1	+	mlrA	+	yohO1mlrA
yohO1	+	osmF-yehYXW1	-	yohO1osmF-yehYXW1
yihW	+	yihV-csqR	+	yihWyihV-csqR
csgC	+	csgBAC	+	csgCcsgBAC
csgC	+	ymdAB-clsC	+	csgCymdAB-clsC
csgC	+	ymdAB	+	csgCymdAB
hdeAB-yhiD	-	yhiD1	-	hdeAB-yhiDyhiD1
dcuR	-	dcuSR	-	dcuRdcuSR
ycbZ1	-	matP	+	ycbZ1matP
ppdAB-ygdB-ppdC-recC	-	recC	-	ppdAB-ygdB-ppdC-recCrecC
fepA-entD1	-	fepA-entD	-	fepA-entD1fepA-entD
allB	+	ybbY-glxK	+	allBybbY-glxK
allB	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+	allBgcl-hyi-glxR-ybbVW-allB-ybbY-glxK
aroL-yaiA-aroM	+	aroM	+	aroL-yaiA-aroMaroM
aroL-yaiA-aroM	+	yaiA-aroM	+	aroL-yaiA-aroMyaiA-aroM
lgt	-	lgt-thyA	-	lgtlgt-thyA
lgt	-	thyA	-	lgtthyA
rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+	rrlA-rrfArrsA-ileT-alaT-rrlA-rrfA
ygbE1	-	cysDNC	-	ygbE1cysDNC
insC2D2CD2	-	ydbA	+	insC2D2CD2ydbA
atpBEFHAGDC	-	atpIBEFHAGDC	-	atpBEFHAGDCatpIBEFHAGDC
yjcO1	-	fdhF	-	yjcO1fdhF
nagBACD	-	nagC	-	nagBACDnagC
nagBACD	-	umpH	-	nagBACDumpH
gabDTP	+	csiD-ygaF-gabDTP	+	gabDTPcsiD-ygaF-gabDTP
mltF	+	pgpC-tadA	-	mltFpgpC-tadA
ydiL	+	ydiM1	+	ydiLydiM1
ryfA1	+	sseB	-	ryfA1sseB
hofQ	-	hofMNOP	-	hofQhofMNOP
talA-tktB	+	talA	+	talA-tktBtalA
talA-tktB	+	tktB	+	talA-tktBtktB
ycgZ1	+	ycgZ-ymgA-ariR-ymgC	+	ycgZ1ycgZ-ymgA-ariR-ymgC
argF	-	argF-xynR1	-	argFargF-xynR1
pspF	-	pspABCDE	+	pspFpspABCDE
dfp	+	dut-slmA	+	dfpdut-slmA
ribE-nusB-thiL-pgpA	+	nrdR-ribDE-nusB-thiL-pgpA	+	ribE-nusB-thiL-pgpAnrdR-ribDE-nusB-thiL-pgpA
yegI1	-	yegJ2	+	yegI1yegJ2
yegI2	-	yegJ1	+	yegI2yegJ1
yneK2	+	yneJ1	+	yneK2yneJ1
xapR	-	valUXY-lysV	+	xapRvalUXY-lysV
sokC	+	mokC-hokC	-	sokCmokC-hokC
safA-ydeO	-	ydeO	-	safA-ydeOydeO
asflhD	+	flhDC	-	asflhDflhDC
valS	-	holC-valS	-	valSholC-valS
valS	-	holC1	-	valSholC1
nanA	-	nanATEK-yhcH	-	nanAnanATEK-yhcH
slyA2	-	ydhIJK	+	slyA2ydhIJK
map-glnD-dapD	-	glnD	-	map-glnD-dapDglnD
araE-ygeA	-	lysR	+	araE-ygeAlysR
araE-ygeA	-	araE	-	araE-ygeAaraE
araE-ygeA	-	ygeA1	-	araE-ygeAygeA1
nemRA	+	nemA	+	nemRAnemA
nemRA	+	ydhM	+	nemRAydhM
nemRA	+	nemRA-gloA	+	nemRAnemRA-gloA
ybhA2	-	pgl1	+	ybhA2pgl1
pqiABC	+	rlmL-uup	+	pqiABCrlmL-uup
pqiABC	+	ymbA	+	pqiABCymbA
yafZ	-	ykfA-yafZ	-	yafZykfA-yafZ
mazEF	-	mazEFG	-	mazEFmazEFG
mazEF	-	relA-mazEF	-	mazEFrelA-mazEF
mazEF	-	ameF	+	mazEFameF
ybdF1	-	ybdJ2	-	ybdF1ybdJ2
sraA	-	clpPX	+	sraAclpPX
sraA	-	clpX-lon	+	sraAclpX-lon
msrPQ	+	hiuH-msrPQ	+	msrPQhiuH-msrPQ
ybdN	-	ybdM1	-	ybdNybdM1
ycaI-msbA-lpxK-ycaQ1	+	rpsA-ihfB	+	ycaI-msbA-lpxK-ycaQ1rpsA-ihfB
ycaI-msbA-lpxK-ycaQ1	+	ihfB	+	ycaI-msbA-lpxK-ycaQ1ihfB
