TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
rrsC-gltU-rrlC-rrfC	+	trpt	+	rrsC-gltU-rrlC-rrfCtrpt
tam	+	lsrACDBFG-tam	+	tamlsrACDBFG-tam
msrB	-	gapA	+	msrBgapA
scpA-argK-scpBC	+	ygfI	-	scpA-argK-scpBCygfI
yjjJ2	+	deoCABD	+	yjjJ2deoCABD
psuT1	-	psuKG	-	psuT1psuKG
fur	-	fldA-uof-fur	-	furfldA-uof-fur
hemA-prfA-prmC	+	hemA	+	hemA-prfA-prmChemA
hemA-prfA-prmC	+	ychQA-kdsA	+	hemA-prfA-prmCychQA-kdsA
mntP	+	rlmA1	-	mntPrlmA1
frlABCDR	+	frlR	+	frlABCDRfrlR
aspA-dcuA	-	aspX	-	aspA-dcuAaspX
gntU1	-	gntKU	-	gntU1gntKU
gntU1	-	gntRKU	-	gntU1gntRKU
ycjXF-tyrR	+	ycjXF	+	ycjXF-tyrRycjXF
ycjXF-tyrR	+	tyrR	+	ycjXF-tyrRtyrR
yaaW1	-	htgA	+	yaaW1htgA
yaaW1	-	yaaI2	-	yaaW1yaaI2
murQP-yfeW	+	murR	-	murQP-yfeWmurR
grxC1	-	secB-gpsA	-	grxC1secB-gpsA
grxC1	-	yibN-grxC-secB-gpsA	-	grxC1yibN-grxC-secB-gpsA
glpFKX	-	glpFK	-	glpFKXglpFK
yggSTU-rdgB-hemW	+	rdgB-yggW	+	yggSTU-rdgB-hemWrdgB-yggW
yahE	+	yahDEFG	+	yahEyahDEFG
yciT	-	yciZT	-	yciTyciZT
ptrB	-	yobB-exoX1	+	ptrByobB-exoX1
apaGH	-	pdxA-rsmA-apaGH	-	apaGHpdxA-rsmA-apaGH
apaGH	-	rsmA-apaGH	-	apaGHrsmA-apaGH
rpoN-hpf-ptsN-yhbJ-npr	+	yrbG-kdsDC-lptCAB	+	rpoN-hpf-ptsN-yhbJ-npryrbG-kdsDC-lptCAB
xapB	-	xapAB	-	xapBxapAB
imp	-	imp-surA-pdxA	-	impimp-surA-pdxA
tnaCAB	+	tnaC	+	tnaCABtnaC
ybjL2	-	ybjM1	+	ybjL2ybjM1
xapAB	-	xapB	-	xapABxapB
yciSM-pyrF-yciH	+	lapAB	+	yciSM-pyrF-yciHlapAB
yciSM-pyrF-yciH	+	pyrF-yciH	+	yciSM-pyrF-yciHpyrF-yciH
dld1	+	bglX	-	dld1bglX
dld1	+	pbpG1	-	dld1pbpG1
dld2	+	pbpG2	-	dld2pbpG2
yjaA2	+	rrsE-gltV-rrlE-rrfE	+	yjaA2rrsE-gltV-rrlE-rrfE
lolB-ispE-prs	-	prs	-	lolB-ispE-prsprs
rihA1	-	hscC1	-	rihA1hscC1
rihA1	-	gltI-sroC-gltJKL1	-	rihA1gltI-sroC-gltJKL1
aspT1	+	rrsC-gltU-rrlC-rrfC	+	aspT1rrsC-gltU-rrlC-rrfC
ydaSTUVW-rzpR	+	rzoR	+	ydaSTUVW-rzpRrzoR
ydaSTUVW-rzpR	+	racR1	-	ydaSTUVW-rzpRracR1
holC1	-	valS	-	holC1valS
plsC	-	ftsP1	-	plsCftsP1
rimL	+	ydcH	+	rimLydcH
insE2F2EF2	-	yaiT	+	insE2F2EF2yaiT
ftsP1	-	ygiQ2	-	ftsP1ygiQ2
yfjM1	-	rnlA	+	yfjM1rnlA
yghQ2	-	yghSR	-	yghQ2yghSR
yrbG-kdsDC-lptCAB	+	yrbG-kdsD	+	yrbG-kdsDC-lptCAByrbG-kdsD
puuCBE	+	puuDRCBE	+	puuCBEpuuDRCBE
nemRA-gloA	+	gloA	+	nemRA-gloAgloA
flu	+	isrC	+	fluisrC
rlmL-uup	+	pqiABC	+	rlmL-uuppqiABC
rplL	+	rplJL-rpoBC	+	rplLrplJL-rpoBC
phoU	-	pstB-phoU	-	phoUpstB-phoU
phoU	-	pstCAB-phoU	-	phoUpstCAB-phoU
phoU	-	pstSCAB-phoU	-	phoUpstSCAB-phoU
ivbL-ilvBN-uhpABC1	-	uhpB	-	ivbL-ilvBN-uhpABC1uhpB
rpsU	+	rpsU-dnaG-rpoD	+	rpsUrpsU-dnaG-rpoD
yjgM1	-	yjgN2	+	yjgM1yjgN2
ybjC-nfsA-rimK-ybjN	+	rimK-ybjN	+	ybjC-nfsA-rimK-ybjNrimK-ybjN
ybjC-nfsA-rimK-ybjN	+	ybjN	+	ybjC-nfsA-rimK-ybjNybjN
alpA	+	yfjH1	-	alpAyfjH1
alpA	+	yfjI4	+	alpAyfjI4
speE	-	yacC-speED	-	speEyacC-speED
insH-10	-	yhcADE	+	insH-10yhcADE
serB-radA	+	serB1	+	serB-radAserB1
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	rseP	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaErseP
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	fabZ	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaEfabZ
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	bamA	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaEbamA
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	accA	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaEaccA
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	lpxD	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaElpxD
thrS-infC	-	infC-rpmI-rplT	-	thrS-infCinfC-rpmI-rplT
thrS-infC	-	infC	-	thrS-infCinfC
pgk	-	pgk-fbaA	-	pgkpgk-fbaA
sieB	+	ydaGF	-	sieBydaGF
pheMST-ihfA	-	ihfA	-	pheMST-ihfAihfA
dxr-uppS-cdsA1	+	rseP	+	dxr-uppS-cdsA1rseP
dxr-uppS-cdsA1	+	cdsA1	+	dxr-uppS-cdsA1cdsA1
dxr-uppS-cdsA2	+	cdsA2	+	dxr-uppS-cdsA2cdsA2
secB-gpsA	-	cysE	-	secB-gpsAcysE
secB-gpsA	-	yibN-grxC-secB-gpsA	-	secB-gpsAyibN-grxC-secB-gpsA
rseP	+	bamA	+	rsePbamA
rseP	+	cdsA1	+	rsePcdsA1
sthA	-	oxyR	+	sthAoxyR
ybeX-lnt	-	ybeZYX-lnt	-	ybeX-lntybeZYX-lnt
yncE	+	yncD1	-	yncEyncD1
gyrB	-	yidB1	-	gyrByidB1
gyrB	-	dnaN-recF	-	gyrBdnaN-recF
gyrB	-	dnaAN-recF	-	gyrBdnaAN-recF
gyrB	-	recF	-	gyrBrecF
cysZ1	+	zipA1	-	cysZ1zipA1
ibpAB	-	ibpB	-	ibpABibpB
alsK1	-	alsBACE	-	alsK1alsBACE
yahM1	+	xtpA	+	yahM1xtpA
mutM	-	mutM1	-	mutMmutM1
mutM	-	yicR-rpmBG-mutM	-	mutMyicR-rpmBG-mutM
yceQ1	+	rne	-	yceQ1rne
rfbACX	-	rfbBDACX	-	rfbACXrfbBDACX
dppBCDF	-	dppABCDF	-	dppBCDFdppABCDF
cynTSX	+	lacZYA	-	cynTSXlacZYA
cynTSX	+	cynTS	+	cynTSXcynTS
hcaT1	-	csiE	+	hcaT1csiE
hcaT1	-	hcaR	-	hcaT1hcaR
yicJI	-	selC	+	yicJIselC
flk	+	yfcJ1	-	flkyfcJ1
imp-surA-pdxA	-	djlA1	+	imp-surA-pdxAdjlA1
imp-surA-pdxA	-	pdxA-rsmA-apaGH	-	imp-surA-pdxApdxA-rsmA-apaGH
imp-surA-pdxA	-	rsmA-apaGH	-	imp-surA-pdxArsmA-apaGH
yehK1	+	yehHI	+	yehK1yehHI
trpS	-	aroKB-damX-dam-rpe-gph-trpS	-	trpSaroKB-damX-dam-rpe-gph-trpS
cysE	-	yibN-grxC-secB-gpsA	-	cysEyibN-grxC-secB-gpsA
rrlH-rrfH	+	rrsH-ileV-alaV-rrlH-rrfH	+	rrlH-rrfHrrsH-ileV-alaV-rrlH-rrfH
trpt	+	rrsC-gltU-rrlC-rrfC	+	trptrrsC-gltU-rrlC-rrfC
cstA	+	ybdD1	+	cstAybdD1
ycaN	-	ycaK2	+	ycaNycaK2
yahO	+	yahN1	-	yahOyahN1
holE1	+	yobB-exoX1	+	holE1yobB-exoX1
rfaH1	-	tatABC	+	rfaH1tatABC
rfaH1	-	tatD	+	rfaH1tatD
csgBAC	+	ymdAB-clsC	+	csgBACymdAB-clsC
csgBAC	+	ymdAB	+	csgBACymdAB
rstAB	+	tus1	+	rstABtus1
yidB1	-	gyrB	-	yidB1gyrB
yjeV	+	queG	-	yjeVqueG
mutM1	-	yicR-rpmBG	-	mutM1yicR-rpmBG
mutM1	-	yicR-rpmBG-mutM	-	mutM1yicR-rpmBG-mutM
yabR	-	ilvIH	+	yabRilvIH
yjfP1	+	ulaR1	-	yjfP1ulaR1
yjfP1	+	bsmA	-	yjfP1bsmA
rbn	+	elaA1	-	rbnelaA1
diaA	+	dolP	+	diaAdolP
lsp-fkpB-ispH	+	ileS-lspA-fkpB-ispH	+	lsp-fkpB-ispHileS-lspA-fkpB-ispH
lsp-fkpB-ispH	+	ribF-ileS-lspA-fkpB-ispH	+	lsp-fkpB-ispHribF-ileS-lspA-fkpB-ispH
nanCM	-	nanS1	-	nanCMnanS1
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	-	wza-wzb-wzc-wcaAB	-	wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxCwza-wzb-wzc-wcaAB
ycjD1	-	sapABCDF	-	ycjD1sapABCDF
oppABCDF	+	oppBCDF	+	oppABCDFoppBCDF
phnCDEEFGHIJKLMNOP	-	phnLMNOP	-	phnCDEEFGHIJKLMNOPphnLMNOP
idnR	-	idnDOTR	-	idnRidnDOTR
fabG-acpP	+	fabDG-acpP	+	fabG-acpPfabDG-acpP
fabG-acpP	+	acpP-fabF	+	fabG-acpPacpP-fabF
fabG-acpP	+	plsX-fabHDG	+	fabG-acpPplsX-fabHDG
fabG-acpP	+	fabHDG	+	fabG-acpPfabHDG
def-fmt	+	smf	-	def-fmtsmf
nikABCDER	+	nikR	+	nikABCDERnikR
asnC-mioC	-	asnC-mioC-mnmG	-	asnC-mioCasnC-mioC-mnmG
mqsA	-	mqsRA	-	mqsAmqsRA
yihD	+	mobAB	-	yihDmobAB
tpke11	+	dnaKJ	+	tpke11dnaKJ
atpIBEFHAGDC	-	atpBEFHAGDC	-	atpIBEFHAGDCatpBEFHAGDC
ycjY-ymjDC-mpaA	-	pgrR	+	ycjY-ymjDC-mpaApgrR
ycjY-ymjDC-mpaA	-	ymjC-mpaA	-	ycjY-ymjDC-mpaAymjC-mpaA
ycjY-ymjDC-mpaA	-	ycjG	+	ycjY-ymjDC-mpaAycjG
ycgN3	+	ycgM	+	ycgN3ycgM
kdgR3	-	yebQ1	+	kdgR3yebQ1
ybgIJKL-nei	+	dtpD1	-	ybgIJKL-neidtpD1
fldA-uof-fur	-	fur	-	fldA-uof-furfur
yggX	+	mutY-yggX-mltC-nupG	+	yggXmutY-yggX-mltC-nupG
yoeA	+	insC3D3CD3	-	yoeAinsC3D3CD3
tsaB-yeaY	-	yeaY	-	tsaB-yeaYyeaY
rcsC2	-	atoSC	+	rcsC2atoSC
uvrYC	-	uvrC	-	uvrYCuvrC
yiaD1	+	ghrB1	+	yiaD1ghrB1
yiaD1	+	bisC1	-	yiaD1bisC1
yiaD2	+	bisC2	-	yiaD2bisC2
yohC1	-	pbpG1	-	yohC1pbpG1
mscL	+	arfA	-	mscLarfA
yciG	-	yciGFE	-	yciGyciGFE
gadXW	-	gadW	-	gadXWgadW
insN-2	+	yjhV	+	insN-2yjhV
infC-rpmI-rplT	-	infC	-	infC-rpmI-rplTinfC
ymjA1	-	puuP	-	ymjA1puuP
ymjA1	-	puuAP	-	ymjA1puuAP
sfsA-dksA	-	ligT	-	sfsA-dksAligT
frc	-	oxc1	-	frcoxc1
yafC1	-	yafDE	+	yafC1yafDE
puuP	-	puuAP	-	puuPpuuAP
tus1	+	fumAC	-	tus1fumAC
insH-8	-	yejO	-	insH-8yejO
fabDG-acpP	+	acpP-fabF	+	fabDG-acpPacpP-fabF
fabDG-acpP	+	plsX-fabHDG	+	fabDG-acpPplsX-fabHDG
fabDG-acpP	+	fabHDG	+	fabDG-acpPfabHDG
ybdD1	+	cstA	+	ybdD1cstA
yeiH1	+	yeiE3	-	yeiH1yeiE3
gntKU	-	gntRKU	-	gntKUgntRKU
mqsRA	-	mqsA	-	mqsRAmqsA
dpiBA	+	citCDEFXG	-	dpiBAcitCDEFXG
ymjC-mpaA	-	ycjG	+	ymjC-mpaAycjG
tyrV-tpr	-	rttR	-	tyrV-tprrttR
yqgD	-	metK	+	yqgDmetK
yadC	-	yadMLKC	-	yadCyadMLKC
relA-mazEF	-	ameF	+	relA-mazEFameF
ymdAB-clsC	+	ymdB-clsC	+	ymdAB-clsCymdB-clsC
ymdAB-clsC	+	ymdAB	+	ymdAB-clsCymdAB
lrp	+	ftsK	+	lrpftsK
fldB	+	xerD1	-	fldBxerD1
yjcH-actP	-	acs-yjcHG	-	yjcH-actPacs-yjcHG
rimK-ybjN	+	ybjN	+	rimK-ybjNybjN
glxK	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+	glxKgcl-hyi-glxR-ybbVW-allB-ybbY-glxK
yqhD-dkgA	+	yqhC1	-	yqhD-dkgAyqhC1
ymdB-clsC	+	ymdAB	+	ymdB-clsCymdAB
yicR-rpmBG	-	yicR-rpmBG-mutM	-	yicR-rpmBGyicR-rpmBG-mutM
ybhQ	+	cecR-ybhGFSR	-	ybhQcecR-ybhGFSR
menFD-yfbB-menBCE	-	menD-yfbB-menBCE	-	menFD-yfbB-menBCEmenD-yfbB-menBCE
bamD	+	rluD-pgeF	-	bamDrluD-pgeF
miaA-hfq-hflXKC	+	hfq-hflXKC1	+	miaA-hfq-hflXKChfq-hflXKC1
yajG-ampG	-	ampG1	-	yajG-ampGampG1
sugE	+	blc	-	sugEblc
ydbK	-	ydbK-ompN	-	ydbKydbK-ompN
hfq-hflXKC1	+	miaA-hfq-hflXKC	+	hfq-hflXKC1miaA-hfq-hflXKC
rzoD	+	essD-ybcS-rzpD	+	rzoDessD-ybcS-rzpD
ryjB	+	sgcXBCQAER	-	ryjBsgcXBCQAER
cbrBC	+	cbrC	+	cbrBCcbrC
xseB-ispA-dxs-yajO	-	yajO	-	xseB-ispA-dxs-yajOyajO
ravA-viaA	-	kup	+	ravA-viaAkup
poxB	-	hcp-hcr-poxB	-	poxBhcp-hcr-poxB
ychJ-purU	-	purU	-	ychJ-purUpurU
kdsA	+	ychQA-kdsA	+	kdsAychQA-kdsA
pdxA-rsmA-apaGH	-	rsmA-apaGH	-	pdxA-rsmA-apaGHrsmA-apaGH
plsX-fabHDG	+	fabHDG	+	plsX-fabHDGfabHDG
tatABC	+	tatD	+	tatABCtatD
