TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZ	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ybhD1	-	ybhH2	+
ybhD2	-	ybhH1	+
trpLEDCBA	-	trpCBA	-
trpLEDCBA	-	trpL	-
uxaB1	-	uxaB	-
uxaB2	-	uxaB	-
gnsA	+	ymcE-gnsA1	+
leuU	-	secG1	-
leuU	-	secG2	-
leuU	-	secG-leuU	-
degS	+	degQS	+
yhfK	+	crp	+
cbpA-cbpM	-	cbpAM	-
ymfJ2	-	ymfI1	+
ymfJ3	-	ymfI1	+
ymfJ4	-	ymfI1	+
tesB	-	glnK-amtB	+
tyrS-pdxY	-	pdxY	-
tyrS-pdxY	-	pdxH-tyrS-pdxY	-
xseA	+	yfgJ	-
aroM	+	yaiA-aroM	+
aroM	+	aroL-yaiA-aroM	+
leuLABCD	-	leuL	-
rsmB1	+	def-fmt	+
caiCDE	-	caiTABCDE	-
chaC	+	chaBC	+
argE	-	argCBH	+
amiC2	-	argA	+
yfiM1	+	pssA	+
yfiM1	+	kgtP1	-
yfiM1	+	kgtP2	-
yfiM1	+	kgtP3	-
yobA-yebZY	-	sdsR-pphA	-
trkG1	+	ynaK-ydaY2	+
trkG2	+	ynaK-ydaY2	+
trkG3	+	ynaK-ydaY2	+
asnU	+	yeeO2	-
asnU	+	cbl	-
yceD-rpmF	+	sraB	+
yceD-rpmF	+	rpmF-plsX-fabHDG	+
yceD-rpmF	+	yceF3	-
yceD-rpmF	+	yceF4	-
mdtEF	+	gadEF-mdtEF	+
mdtEF	+	gadE-mdtEF	+
epd-pgk	-	epd-pgk-fbaA	-
epd-pgk	-	pgk-fbaA	-
epd-pgk	-	pgk	-
rpoBC	+	rplKAJL-rpoBC	+
rpoBC	+	rplJL-rpoBC	+
fepDGC	-	fes-ybdZ-entF-fepE	+
ilvY	-	ilvEDA	+
ilvY	-	ilvLXG_1G_2MEDA	+
yghT1	+	yghSR	-
talA	+	talA-tktB	+
talA	+	tktB	+
yecH1	-	tyrP	+
yecH2	-	tyrP	+
fliDST	+	amyA	+
hslJ	-	ydbJ	+
yefM-yoeB	-	yeeZ1	-
mtlADR	+	yibT1	-
mtlADR	+	yibT2	-
cbrA1	+	yidR1	-
cbrA1	+	dgoRKADT	-
ycjMNOPQRSTUV-ymjB-ompG	+	ompG	+
dgkA	+	plsB	-
